genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
MALE,27,"Millennials Jóvenes","161 - Humahuaca",821
MALE,27,"Millennials Jóvenes","014 - Pacifico",818
MALE,27,"Millennials Jóvenes","161 - Humahuaca",863
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",436
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",866
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",737
MALE,27,"Millennials Jóvenes","161 - Humahuaca",540
MALE,27,"Millennials Jóvenes","161 - Humahuaca",733
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",677
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",1000
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",831
MALE,27,"Millennials Jóvenes","005 - Plaza Italia",890
MALE,27,"Millennials Jóvenes","161 - Humahuaca",832
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",761
MALE,27,"Millennials Jóvenes","005 - Plaza Italia",692
MALE,27,"Millennials Jóvenes","161 - Humahuaca",708
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",438
MALE,27,"Millennials Jóvenes","161 - Humahuaca",861
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",973
MALE,27,"Millennials Jóvenes","161 - Humahuaca",827
MALE,27,"Millennials Jóvenes","161 - Humahuaca",875
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",718
MALE,27,"Millennials Jóvenes","161 - Humahuaca",609
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",693
MALE,27,"Millennials Jóvenes","368 - PLAZA DE LA SHOÁ",1909
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",683
MALE,27,"Millennials Jóvenes","091 - Pasco",1664
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",707
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",1016
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",645
MALE,27,"Millennials Jóvenes","162 - LARREA Y BARTOLOMÉ MITRE",734
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",960
MALE,27,"Millennials Jóvenes","161 - Humahuaca",736
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",704
MALE,27,"Millennials Jóvenes","161 - Humahuaca",920
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",1284
MALE,27,"Millennials Jóvenes","005 - Plaza Italia",783
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",1328
MALE,27,"Millennials Jóvenes","161 - Humahuaca",973
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",765
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",702
MALE,27,"Millennials Jóvenes","075 - Plaza Primero de Mayo",705
MALE,27,"Millennials Jóvenes","161 - Humahuaca",866
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",1016
MALE,27,"Millennials Jóvenes","161 - Humahuaca",908
MALE,27,"Millennials Jóvenes","161 - Humahuaca",726
MALE,27,"Millennials Jóvenes","161 - Humahuaca",961
MALE,27,"Millennials Jóvenes","161 - Humahuaca",923
MALE,27,"Millennials Jóvenes","005 - Plaza Italia",721
MALE,27,"Millennials Jóvenes","221 - CULPINA",1567
MALE,27,"Millennials Jóvenes","161 - Humahuaca",524
MALE,27,"Millennials Jóvenes","161 - Humahuaca",725
MALE,27,"Millennials Jóvenes","161 - Humahuaca",796
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",689
MALE,27,"Millennials Jóvenes","005 - Plaza Italia",762
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",1345
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",976
MALE,27,"Millennials Jóvenes","161 - Humahuaca",706
MALE,27,"Millennials Jóvenes","017 - Plaza Almagro",1001
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",388
MALE,27,"Millennials Jóvenes","161 - Humahuaca",807
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",994
MALE,27,"Millennials Jóvenes","161 - Humahuaca",822
MALE,27,"Millennials Jóvenes","161 - Humahuaca",745
MALE,27,"Millennials Jóvenes","066 - Billinghurst",336
MALE,27,"Millennials Jóvenes","161 - Humahuaca",897
